Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
13759574-55da-4d44-858a-2050d9a1f5e9,"2020-06-07, 06:31:47 PM",root,CreateLoginProfile,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""}]",,us-east-1,,84.40.125.188
7873876a-9b4a-4b8b-a500-a748d710098a,"2020-06-07, 06:31:46 PM",root,CreateUser,IAM User,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""AIDA4QHAWEKLGGLNDE5Y6""},{""resourceType"":""AWS::IAM::User"",""resourceName"":""arn:aws:iam::859464671894:user/CloudTrail""}]",,us-east-1,,84.40.125.188
84cead8e-d642-4439-b00a-f1e1159e93bf,"2020-06-07, 06:31:46 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""CloudTrailAdmins""}]",,us-east-1,,84.40.125.188
cc625909-5179-4646-b286-a80748ed17a1,"2020-06-07, 06:31:46 PM",root,AttachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""CloudTrail""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/IAMUserChangePassword""}]",,us-east-1,,84.40.125.188
8f2cc7c1-8321-4c82-80ec-6728ed7749c0,"2020-06-07, 06:30:19 PM",root,GenerateServiceLastAccessedDetails,,,,us-east-1,,84.40.125.188
5e9cf10c-502f-4e7e-a43a-274b492d8d26,"2020-06-07, 06:29:22 PM",root,DetachGroupPolicy,IAM Policy and 1 more,"[{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admin""}]",,us-east-1,,84.40.125.188
0fc82307-ecc8-4b55-8423-7e42caedffed,"2020-06-07, 06:29:11 PM",root,AddUserToGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admin""}]",,us-east-1,,84.40.125.188
adf1b880-134c-4bd3-91eb-ef0e830601ae,"2020-06-07, 06:28:52 PM",root,RemoveUserFromGroup,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""admin""},{""resourceType"":""AWS::IAM::Group"",""resourceName"":""Admin""}]",,us-east-1,,84.40.125.188
84acd1d0-7eb6-4ddf-9377-fab9e716eb73,"2020-06-07, 06:28:46 PM",root,DetachUserPolicy,IAM User and 1 more,"[{""resourceType"":""AWS::IAM::User"",""resourceName"":""admin""},{""resourceType"":""AWS::IAM::Policy"",""resourceName"":""arn:aws:iam::aws:policy/job-function/Billing""}]",,us-east-1,,84.40.125.188
e0704a28-9c9e-415c-be3e-5d7b1276da27,"2020-06-07, 06:23:54 PM",root,ConsoleLogin,,,,us-east-1,,84.40.125.188
